ENGLISH,SPANISH,ENGLISH,SPANISH
OWNER,PROPIETARIO,FILE,FICHERO
GROUP,GRUPO,DEVICE,DISPOSITIVO
OTHERS,OTROS,SIZE,TAMANYO
READ,LEER,INODE,INODO
WRITE,ESCRITURA,LINKS,ENLACES
EXECUTION,EJECUCION,ACCESS TIME,TIEMPO DE ACCESO
OCTAL,OCTA,MODIFY,MODIFICAR
SIZE,TAMANYO,BIRTH,NACIMIENTO
MODE,MODO,I/O,I/O
PATH,RUTA,RELATIVE,FAMILIAR
ABSOLUTE,ABSOLUTO,READLINK,ENLACE DE LECTURA
STAT,ESTADISTICA,CROSS,CRUCE
GRANT,DAR,PERMIT,PERMISO
ALLOW,PERMITIR,CHECK,COMPROBAR
